ImpGreedy      ,db=5, M=0.500000, 0.047138
ImpGreedy LIB       ,db=0.500000, M=5, 0.065255
Cube        ,db=5, M=0.500000, 0.300833
Cube LIB       ,db=10000, M=0.500000, 0.380328
Sphere      ,db=5, M=0.500000, 0.050572
Sphere LIB     ,db=5, M=0.500000 , 0.060816
ImpGreedy      ,db=5, M=0.500000, 0.046829
ImpGreedy LIB       ,db=0.500000, M=5, 0.063426
Cube        ,db=5, M=0.500000, 0.304790
Cube LIB       ,db=10000, M=0.500000, 0.391200
Sphere      ,db=5, M=0.500000, 0.049283
Sphere LIB     ,db=5, M=0.500000 , 0.060573
ImpGreedy      ,db=5, M=0.500000, 0.044527
ImpGreedy LIB       ,db=0.500000, M=5, 0.061301
Cube        ,db=5, M=0.500000, 0.305894
Cube LIB       ,db=10000, M=0.500000, 0.394528
Sphere      ,db=5, M=0.500000, 0.052820
Sphere LIB     ,db=5, M=0.500000 , 0.069290
ImpGreedy      ,db=5, M=0.500000, 0.045974
ImpGreedy LIB       ,db=0.500000, M=5, 0.063203
Cube        ,db=5, M=0.500000, 0.319664
Cube LIB       ,db=10000, M=0.500000, 0.402034
Sphere      ,db=5, M=0.500000, 0.053702
Sphere LIB     ,db=5, M=0.500000 , 0.073015
ImpGreedy      ,db=5, M=0.500000, 0.047739
ImpGreedy LIB       ,db=0.500000, M=5, 0.069505
Cube        ,db=5, M=0.500000, 0.324813
Cube LIB       ,db=10000, M=0.500000, 0.423535
Sphere      ,db=5, M=0.500000, 0.052279
Sphere LIB     ,db=5, M=0.500000 , 0.073578
ImpGreedy      ,db=5, M=0.500000, 0.047836
ImpGreedy LIB       ,db=0.500000, M=5, 0.073784
Cube        ,db=5, M=0.500000, 0.326901
Cube LIB       ,db=10000, M=0.500000, 0.407401
Sphere      ,db=5, M=0.500000, 0.051296
Sphere LIB     ,db=5, M=0.500000 , 0.072767
ImpGreedy      ,db=5, M=0.500000, 0.047437
ImpGreedy LIB       ,db=0.500000, M=5, 0.071969
Cube        ,db=5, M=0.500000, 0.332156
Cube LIB       ,db=10000, M=0.500000, 0.410969
Sphere      ,db=5, M=0.500000, 0.049624
Sphere LIB     ,db=5, M=0.500000 , 0.070055
ImpGreedy      ,db=5, M=0.500000, 0.045592
ImpGreedy LIB       ,db=0.500000, M=5, 0.068305
